,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure
137574,1e3aa95c-3fd7-4ffc-8137-a30597b6585c,60,Sevilla,From Throw In,Sevilla,Grzegorz Krychowiak,"[120.0, 47.5, 0.2]",Left Defensive Midfield,"[96.7, 33.6]",1.042631,,Off T,Open Play,265835,True
137575,b9da55d3-54c8-45b2-995b-4a3c80ef09d0,64,Barcelona,From Free Kick,Barcelona,Ivan Rakitić,"[120.0, 38.8, 1.7]",Left Center Midfield,"[114.5, 36.3]",0.0374,,Goal,Open Play,265835,
137576,a4a60f4e-463a-4cf7-8b37-f91f807750ef,68,Barcelona,From Free Kick,Barcelona,Jordi Alba Ramos,"[120.0, 53.1, 0.8]",Left Back,"[106.7, 29.9]",1.1491,,Off T,Open Play,265835,
137577,b49dcb08-0ac5-45a4-adcf-2267a60f521f,71,Barcelona,From Counter,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.3, 0.9]",Right Wing,"[117.3, 43.0]",0.2736,,Goal,Open Play,265835,
137578,134c947a-a0a2-444d-8025-fe55a58e47e9,77,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 36.8, 0.4]",Center Forward,"[102.8, 36.3]",0.7813,,Goal,Open Play,265835,
137579,4680a041-b6ab-4ec9-80f7-a7ddd93bd31c,84,Barcelona,From Free Kick,Barcelona,Adriano Correia Claro,"[120.0, 35.1, 5.8]",Left Back,"[99.1, 19.7]",0.911533,,Off T,Open Play,265835,True
137580,e186bb40-99c4-4190-b27f-42a67d171c0d,84,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[117.3, 36.8, 0.4]",Left Wing,"[104.7, 27.2]",0.554061,,Saved,Open Play,265835,
137581,daa49e87-3581-43a7-b5df-ed3aea658cd9,88,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[117.1, 36.7, 0.2]",Center Forward,"[106.0, 30.1]",0.428299,,Saved,Open Play,265835,
137582,7ca86b48-8860-4d04-9234-7308cee5c128,7,Málaga,From Keeper,Málaga,Nordin Amrabat,"[118.9, 40.3, 0.2]",Center Forward,"[104.5, 30.9]",0.680206,,Saved,Open Play,266838,
137583,22687141-3c9d-48a4-b0c9-115ac2c8f4fd,14,Barcelona,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 44.6, 4.0]",Center Forward,"[93.5, 52.1]",1.396815,,Off T,Free Kick,266838,
137584,149da8ee-82d1-471c-8161-fbde9e997d45,16,Barcelona,From Free Kick,Barcelona,Pedro Eliezer Rodríguez Ledesma,"[120.0, 49.0, 1.8]",Right Wing,"[112.2, 33.9]",1.318787,,Off T,Open Play,266838,
137585,1ecaecbf-9b85-41fa-9054-0c84dc76e26f,18,Málaga,From Throw In,Málaga,Sergi Darder Moll,"[120.0, 49.3, 0.2]",Right Defensive Midfield,"[95.2, 48.6]",0.653469,,Off T,Open Play,266838,
137586,640456ae-00f4-4b31-b616-2b39d1f0cc26,25,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 34.8, 2.0]",Center Forward,"[110.1, 38.4]",0.875102,,Off T,Open Play,266838,
137587,9f6be67b-79dd-4d9b-9775-194ffdc15c53,41,Barcelona,Regular Play,Barcelona,Neymar da Silva Santos Junior,"[104.5, 27.1]",Left Wing,"[103.4, 26.1]",0.0548,,Blocked,Open Play,266838,
137588,0b32b255-6af4-4a84-ae46-68e3bdace73b,41,Barcelona,Regular Play,Barcelona,Pedro Eliezer Rodríguez Ledesma,"[107.0, 40.6]",Right Wing,"[105.3, 40.3]",0.0734,,Blocked,Open Play,266838,
137589,69c90f4d-ec0e-4ab2-8ce0-9e84d3d4b46a,60,Barcelona,From Corner,Barcelona,Marc Bartra Aregall,"[120.0, 45.2, 1.7]",Left Center Back,"[110.5, 43.4]",0.897967,,Off T,Open Play,266838,True
137590,388412ed-95fe-4d7b-972b-53515f5e2508,65,Barcelona,From Throw In,Barcelona,Sandro Ramírez Castillo,"[107.4, 25.1]",Left Wing,"[105.6, 22.8]",0.135,,Blocked,Open Play,266838,
137591,d9e0c8ea-b5a6-4760-9f75-e3f6e8a2712e,67,Málaga,From Throw In,Málaga,Roberto José Rosales Altuve,"[120.0, 33.3, 1.6]",Right Back,"[102.8, 50.5]",0.754105,,Off T,Open Play,266838,
137592,d3eeed21-aa2b-490f-8112-f0d14d8218e8,70,Málaga,From Free Kick,Málaga,Luis Alberto Romero Alconchel,"[120.0, 37.6, 1.3]",Center Attacking Midfield,"[113.0, 17.3]",0.7243,,Saved to Post,Free Kick,266838,
137593,e8fe4d75-1dfb-4f71-8c93-881a0dd8101d,70,Málaga,From Corner,Málaga,Sergio Sánchez Ortega,"[119.5, 18.3]",Right Center Back,"[109.1, 44.2]",2.6149,,Wayward,Open Play,266838,True
137594,08f1ef92-098a-4781-bbbc-fdb3bcc36946,73,Barcelona,From Free Kick,Barcelona,Jordi Alba Ramos,"[120.0, 38.6, 7.0]",Left Back,"[101.1, 44.1]",1.406018,,Off T,Open Play,266838,
137595,07d4bff5-5d27-412b-b25c-140073c17aac,76,Málaga,From Free Kick,Málaga,Nordin Amrabat,"[102.1, 35.1]",Center Forward,"[90.8, 34.5]",0.3266,,Blocked,Open Play,266838,
137596,e55cf1ec-dee6-4529-ba0f-6f77ded68c5b,80,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[105.7, 52.1]",Left Center Midfield,"[105.0, 52.7]",0.0159,,Blocked,Open Play,266838,
