,id,minute,possession_team,play_pattern,team,player,shot_end_location,position,location,duration,shot_one_on_one,shot_outcome,shot_type,match_id,under_pressure,Goal,Goal_Win
126137,72e3cedf-1926-4534-9ed0-898f6af5ca3e,13,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[118.3, 45.7, 0.0]",Right Center Midfield,"[116.5, 49.1]",0.266942,,Saved,Open Play,303451,,0,False
126138,28ada4eb-44ad-41ae-acac-22a92eba7934,14,Barcelona,From Corner,Barcelona,Sergio Busquets i Burgos,"[119.2, 40.4, 2.0]",Center Defensive Midfield,"[112.5, 32.3]",0.66288,,Saved,Open Play,303451,True,0,False
126139,447c44db-457b-470f-9b57-ebbfc543e91b,16,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 37.5, 2.0]",Right Wing,"[95.5, 48.4]",1.039425,,Goal,Open Play,303451,,1,True
126141,3ecffe72-ca59-4e31-8a1c-7bab80d00211,21,Barcelona,From Corner,Barcelona,Gerard Piqué Bernabéu,"[118.6, 41.0, 0.8]",Right Center Back,"[111.5, 38.9]",0.949063,,Saved,Open Play,303451,True,0,False
126142,0a648ddd-3ea8-496d-abc3-c27726ff0e66,27,Barcelona,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 44.1, 1.0]",Center Forward,"[112.4, 48.7]",0.396971,,Post,Open Play,303451,True,0,False
126143,1e2b9b9e-e47b-4048-99a7-cd977a38653c,29,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[118.2, 32.7, 0.1]",Right Wing,"[117.9, 31.1]",0.122206,True,Saved,Open Play,303451,,0,False
126144,66356669-cb78-4448-b350-2159b26f8eeb,31,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 46.8, 0.0]",Center Forward,"[111.8, 47.9]",0.930258,True,Off T,Open Play,303451,True,0,False
126145,4257082c-644e-41e9-975c-a03bb85d5907,34,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[114.6, 27.2]",Center Forward,"[113.8, 24.8]",0.118281,,Blocked,Open Play,303451,,0,False
126147,819cb3c7-bba6-4244-84db-8b35b356eb52,40,Barcelona,From Throw In,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 37.3, 0.9]",Right Wing,"[99.1, 40.4]",0.860719,,Goal,Open Play,303451,,1,True
126148,c2ba5203-3604-49ea-b216-77d674ac7798,42,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[120.0, 38.7, 0.5]",Center Forward,"[111.6, 48.5]",1.104064,,Goal,Open Play,303451,,1,True
126149,c9758be5-bbe1-4f47-b3d0-c7be7ff16014,47,Barcelona,Regular Play,Barcelona,Ivan Rakitić,"[120.0, 34.7, 0.5]",Right Center Midfield,"[98.0, 56.1]",1.397176,,Off T,Open Play,303451,,0,False
126150,753c4bbb-b468-4ea7-888b-170bcf3bb32e,51,Barcelona,Regular Play,Barcelona,Antoine Griezmann,"[114.1, 36.9, 0.2]",Left Wing,"[107.9, 31.2]",0.433119,,Saved,Open Play,303451,,0,False
126151,99a204cd-68aa-4b31-ae37-30f0321ac753,56,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[117.1, 42.8, 0.2]",Center Forward,"[109.0, 49.4]",0.519094,,Saved,Open Play,303451,,0,False
126152,1b1a66f9-b392-4553-b239-ca140014b167,57,Barcelona,From Counter,Barcelona,Luis Alberto Suárez Díaz,"[117.4, 42.1, 0.0]",Center Forward,"[102.7, 47.6]",0.844869,,Saved,Open Play,303451,,0,False
126154,6214e231-4d6d-4965-aa20-43e7b9c1f669,62,Barcelona,From Goal Kick,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 38.0, 5.5]",Right Wing,"[96.9, 48.1]",1.512174,,Off T,Open Play,303451,,0,False
126158,72b81dbe-3a7c-486d-8485-4700a5ae02e9,74,Barcelona,Regular Play,Barcelona,Luis Alberto Suárez Díaz,"[117.5, 42.9, 0.5]",Center Forward,"[105.5, 47.6]",0.711545,,Saved,Open Play,303451,,0,False
126161,ea20ed90-06d8-48f6-b481-4368875b10e1,77,Barcelona,Regular Play,Barcelona,Sergi Roberto Carnicer,"[118.0, 43.7, 1.3]",Right Back,"[108.9, 53.0]",0.342372,,Saved,Open Play,303451,,0,False
126162,f030e128-6c99-4551-9a9e-2826dd222182,82,Barcelona,Regular Play,Barcelona,Lionel Andrés Messi Cuccittini,"[120.0, 43.7, 2.4]",Right Wing,"[106.1, 50.1]",0.702861,,Goal,Open Play,303451,,1,True
126163,6d2122db-ba68-434e-bc7c-7669b29967d7,86,Barcelona,From Free Kick,Barcelona,Carles Aleña Castillo,"[118.8, 43.0, 0.4]",Right Center Midfield,"[104.3, 47.5]",0.918959,,Saved,Open Play,303451,,0,False
126164,3face22b-8204-49c4-87c1-d30efd73f67c,87,Barcelona,From Throw In,Barcelona,Carles Pérez Sayol,"[112.6, 38.5, 0.7]",Left Wing,"[109.7, 38.2]",0.161869,,Saved,Open Play,303451,,0,False
126165,1d2fa812-85d9-4206-90a8-9afe682ba299,90,Barcelona,Regular Play,Barcelona,Arturo Erasmo Vidal Pardo,"[120.0, 45.0, 0.9]",Left Center Midfield,"[117.5, 52.5]",0.44225,,Off T,Open Play,303451,,0,False
126166,c6557559-34d4-45a6-89c4-6089a6b4a50d,92,Barcelona,From Counter,Barcelona,Lionel Andrés Messi Cuccittini,"[105.4, 45.7]",Right Wing,"[102.6, 46.2]",0.055706,,Blocked,Open Play,303451,,0,False
